text,label
"Отличный товар, очень доволен покупкой!",положительный
"Ужасное качество, верну обратно.",отрицательный
"Быстрая доставка, всё работает отлично.",положительный
"Не соответствует описанию, разочарован.",отрицательный
"Превзошёл все мои ожидания!",положительный
"Сломался через неделю использования.",отрицательный
"Рекомендую! Лучшая покупка года.",положительный
"Деньги на ветер, больше не закажу.",отрицательный
"Прекрасное соотношение цены и качества.",положительный
"Товар пришёл повреждённый.",отрицательный
"Пользуюсь каждый день, очень удобно.",положительный
"Полный брак, упаковка вскрыта.",отрицательный
"Подарил маме, она в восторге!",положительный
"Ни за что не куплю снова.",отрицательный
"Качественный материал, приятный дизайн.",положительный
"Функционал не работает как заявлено.",отрицательный
"Заказываю уже второй раз, всё отлично.",положительный
"Очень долгая доставка и плохая упаковка.",отрицательный
"Великолепный продукт для своей цены!",положительный
"Абсолютно бесполезная вещь.",отрицательный
"Лучше чем ожидал! Спасибо продавцу.",положительный
"Товар не работает, возврат невозможен.",отрицательный
"Покупаю в подарок, всем нравится.",положительный
"Пластик дешёвый, скрипит при использовании.",отрицательный
"Отлично подходит для ежедневного использования.",положительный
"Запах химии, невозможно использовать.",отрицательный
"Идеальный размер и цвет!",положительный
"Разочарован, ожидал большего за эту цену.",отрицательный
"Фантастическое качество сборки!",положительный
"Не стоит своих денег.",отрицательный
"Работает тихо и эффективно.",положительный
"Батарея разряжается за час.",отрицательный
"Стильный дизайн, удобная эргономика.",положительный
"Краска облезла через два дня.",отрицательный
"Идеально для путешествий, компактный.",положительный
"Инструкция непонятная, собирал три часа.",отрицательный
"Ребёнок в восторге от игрушки!",положительный
"Мелкие детали, опасно для детей.",отрицательный
"Надёжный и долговечный товар.",положительный
"Постоянно зависает и тормозит.",отрицательный
"Приятно удивлён скоростью работы.",положительный
"Экран поцарапался в первый же день.",отрицательный
"Лёгкий но прочный — то что нужно.",положительный
"Швы расходятся после первой стирки.",отрицательный
"Отличный звук, басы глубокие!",положительный
"Микрофон шипит, собеседники жалуются.",отрицательный
"Суперудобное кресло для работы из дома.",положительный
"Колёсики сломались через месяц.",отрицательный
"Покупкой доволен на все 100%.",положительный
"Цвет не соответствует фотографии на сайте.",отрицательный
"Этот блендер — просто находка!",положительный
"Слишком шумный для домашнего использования.",отрицательный
"Качество камеры впечатляет.",положительный
"Зарядка греется до опасной температуры.",отрицательный
"Материал мягкий и приятный к телу.",положительный
"Молния заедает постоянно.",отрицательный
"Быстрый и отзывчивый интерфейс.",положительный
"Приложение вылетает каждые пять минут.",отрицательный
"Хороший подарок по разумной цене.",положительный
"Комплектация не полная, не хватает деталей.",отрицательный
"Простая настройка, работает из коробки.",положительный
"Невозможно подключить к Wi-Fi.",отрицательный
"Достойная замена дорогим аналогам.",положительный
"Пахнет пластиком, неприятно использовать.",отрицательный
"Ношу каждый день, не снимая.",положительный
"Ремешок порвался через неделю.",отрицательный
"Вкусный чай, ароматный и насыщенный!",положительный
"Вкус пластиковый, пить невозможно.",отрицательный
"Красивая упаковка, идеально для подарка.",положительный
"Коробка пришла мятой, товар повреждён.",отрицательный
"Удобное приложение, интуитивный дизайн.",положительный
"Требует обновления каждый день, раздражает.",отрицательный
"Отличные наушники за свою цену!",положительный
"Один наушник перестал работать через неделю.",отрицательный
"Замечательный набор для творчества.",положительный
"Краски высохшие, кисти жёсткие.",отрицательный
"Лучшие кроссовки для бега!",положительный
"Подошва отклеилась после первой пробежки.",отрицательный
"Отлично защищает от дождя и ветра.",положительный
"Промокает насквозь при первом дожде.",отрицательный
"Мощный пылесос, убирает идеально.",положительный
"Фильтр забивается моментально.",отрицательный
"Тонкий и лёгкий ноутбук, мечта!",положительный
"Клавиатура неудобная, кнопки западают.",отрицательный
"Яркий и сочный дисплей.",положительный
"Экран мерцает при низкой яркости.",отрицательный
"Отличная книга, прочитал за один день!",положительный
"Скучное содержание, бросил на середине.",отрицательный
"Ароматный кофе, бодрит по утрам.",положительный
"Кофе пережаренный, горький привкус.",отрицательный
"Идеальная сковородка, ничего не пригорает.",положительный
"Антипригарное покрытие облезло за месяц.",отрицательный
"Детям понравилась настольная игра!",положительный
"Правила запутанные, играть невозможно.",отрицательный
"Отличный фен, сушит быстро и бережно.",положительный
"Перегревается и отключается через минуту.",отрицательный
"Шикарные шторы, преобразили комнату!",положительный
"Ткань просвечивает, не затемняет комнату.",отрицательный
"Крем увлажняет на весь день.",положительный
"Вызвал аллергическую реакцию.",отрицательный
